,Date,User,Tweet,Like,Reply,Retweet,Quote
70,2022-01-12 22:21:46+00:00,filmlectures,"Anthology horror films are a popular sub-genre of scary movies. Cinema's 1st one was Paul Leni's Nov. 1924 ""Waxworks."" The German director/set designer gave importance to his sets, saying they emphasize characters' inner truths.

https://t.co/JUQGehEiQC

https://t.co/Bs3ReODGbt qqqqq",3,0,2,0
71,2022-01-12 22:21:09+00:00,krixxxxxxy,"Can someone tell leni that the video is not splice!!!! She's the onw who lying!!
#BBMSaBalota 
#KayMarcosTayo qqqqq",0,1,1,1
72,2022-01-12 22:20:38+00:00,ding1206,"MARAMI KASI SA MGA MAINSTREAM MEDIA NGAYON NABAYARAN NA KAYA KAHIT NA PURO MAGANDA ANG GINAGAWA NI VP LENI ROBREDO,  NAGAGAWA PA NILANG MALIITIN AT PAGMUKHAIN NAMOMOLITIKA LANG SIYA!!!

ANG PERA NAGAGAWANG ANG MAGANDA MAGING PANGIT AT ANG TAMA NAGAGAWANG MALI!!!

HAY BUHAY!!! https://t.co/75aeJOTvSX qqqqq",2,0,1,0
73,2022-01-12 22:17:59+00:00,juncottondotcom,Nagunguna si VP Leni dun sa pa survey niya kahapon tapos binura. Ngayon gumagawa ng kwento na nanguna raw si bbm. Ang gago. Buti maraming resibo. Ekis na ekis. qqqqq,0,0,0,0
74,2022-01-12 22:17:10+00:00,yri_chr,"I'm going to do a bad thing, Leni.
I'm going to do a very bad thing. qqqqq",0,0,0,0
75,2022-01-12 22:16:10+00:00,benign0,Aren't we all glad Leni Robredo is here to tell us these things! 😀 https://t.co/jz48RIyflb qqqqq,16,1,0,0
76,2022-01-12 22:15:31+00:00,BongPhillips555,"GOBYERNONG TAPAT, 
ANGAT BUHAY LAHAT!

Kay Leni Tayo!
#LeniForPresident2022 https://t.co/gSiFCE5XCT qqqqq",1,0,0,0
77,2022-01-12 22:15:10+00:00,JTonywatcher,ilocos norte for Leni https://t.co/jCsry7SCcv qqqqq,0,0,0,0
78,2022-01-12 22:15:02+00:00,EstelleSelfie,"Ako si Susan, mula sa Quezon City, lumalaban at sumusuporta para kay LENI ROBREDO @lenirobredo at Sen. @kikopangilinan para sa mas magandang kinabukasan ng bawat Pilipino! 

Kay #LeniKiko2022, Gobyernong Tapat, Angat Buhay Lahat!

#LakasNiLeni #LeniKiko2022
#LeniForPresident2022 https://t.co/BAmc9pQNEd qqqqq",29,1,9,0
79,2022-01-12 22:12:50+00:00,jminicat,"lahat na lang ng nangyayari kay leni may excuse. hayss, madam how can we ever trust you? https://t.co/clXMQ6in92 qqqqq",2,0,0,0
